lat,lon,hour
39.91597540589049,32.843829321875354,17
39.935830056671996,32.802904123134205,1
39.91273481702295,32.777501069530544,0
39.907405975766416,32.845338660615525,7
39.93173724207629,32.86099108024404,8
39.90415195948473,32.87599109385389,5
39.9296462296338,32.852503351516255,17
39.87923865567359,32.84787263069801,6
39.919791075948275,32.8417854560917,17
39.931781403787895,32.86250435562907,0
39.93412128099682,32.86247769291502,15
39.928068430351146,32.852316719721266,18
39.92278785107371,32.85013259715754,9
39.91492500784378,32.86749249630762,7
39.8594569389542,32.88041279967462,20
39.90215377373663,32.831608854670705,1
39.92861732452196,32.80942171162947,0
39.89628930784161,32.82863581060461,10
39.91855601741815,32.84606862311839,17
39.93678118685639,32.87208016516498,7
39.860110194317556,32.87043968114297,20
39.946529903172326,32.87039955607173,16
39.90102659520725,32.846787133135244,21
39.91328725345222,32.84990735968841,17
39.908670349713326,32.852962111783654,18
39.875685948660845,32.84810596337316,22
39.908284183109,32.85617816361791,9
39.91397580439057,32.857015803478745,19
39.931585807283646,32.87000446936104,17
39.89548995410979,32.845768059061264,18
39.91167741768664,32.867919834551444,5
39.90426645495845,32.844289075932,18
39.92207357202657,32.85495888241527,8
39.9320985521926,32.867420271806644,4
39.924155944331154,32.856046553166316,8
39.92132739773326,32.86075763089724,18
39.898376773334356,32.869553334869714,19
39.85463553847359,32.821735145492866,15
39.91396717610049,32.874288386732694,16
39.83091199327601,32.85326627028174,4
39.94454185118247,32.883945543480856,6
39.899850110245076,32.84508494139135,22
39.90228555613322,32.842329760394215,15
39.88981520347814,32.82743243512587,2
39.92511376922028,32.85542615373273,8
39.925685865075906,32.85625014389701,18
39.94190015803443,32.88045641994465,3
39.903352833801335,32.84556690349586,8
39.913828721275294,32.85342967423538,11
39.91406909426182,32.86323023670988,19
39.9405694836829,32.85597161955582,18
39.92161341032198,32.86260456255104,7
39.90211160244796,32.85439468940438,18
39.950141074764026,32.83481538008397,20
39.908504394200975,32.852251943899,9
39.91894943700394,32.82685043154253,22
39.983654838281524,32.83974910856976,0
39.8861602194572,32.85130136042788,23
39.94800581913113,32.854632427469944,6
39.935337817601315,32.827964682170006,15
39.9654006533921,32.87096133083755,14
39.952201047066325,32.865064818974254,15
39.945516521131864,32.82791842320968,10
39.90602768749931,32.89450441786668,20
39.96756225841852,32.819698032008425,1
39.923267360678636,32.849800561995146,9
39.89985905591905,32.862655190860664,6
39.95499888797096,32.86765987419852,14
39.911184626502425,32.86955583539805,20
39.90997071479257,32.866473429021916,6
39.96266397101367,32.791795210220975,16
39.9446875689562,32.807938352352885,3
39.95761983131633,32.83499923170381,0
39.90859328622393,32.861062692270885,9
39.93169510189427,32.82413439291115,16
39.908240002428315,32.85223518512509,19
39.88464739149486,32.82226581081229,12
39.92423862371264,32.82513385097234,10
39.92503539290026,32.86901143595883,8
39.91631333755298,32.85801453185957,15
39.98131290198506,32.81848196647868,11
